held_out_condition,target,actual,predicted,absolute_error
olfactory_food_memory,forward_drive,0.85,0.5372434750717568,0.31275652492824313
olfactory_food_memory,turning_drive,0.45,0.8469019290546528,0.39690192905465277
olfactory_food_memory,feeding_drive,0.7,0.0,0.7
olfactory_food_memory,grooming_drive,0.05,0.1204550818777982,0.0704550818777982
olfactory_food_memory,visual_steering_drive,0.1,0.9309072404322751,0.8309072404322752
visual_object_tracking,forward_drive,0.55,0.40401851269757616,0.14598148730242388
visual_object_tracking,turning_drive,0.85,0.28512338504239954,0.5648766149576004
visual_object_tracking,feeding_drive,0.05,0.5544764276231415,0.5044764276231415
visual_object_tracking,grooming_drive,0.05,0.3770042241040629,0.32700422410406293
visual_object_tracking,visual_steering_drive,0.95,0.06933018210479847,0.8806698178952015
gustatory_feeding,forward_drive,0.15,0.2896994838745973,0.13969948387459732
gustatory_feeding,turning_drive,0.1,0.5387082366581956,0.4387082366581956
gustatory_feeding,feeding_drive,0.95,0.020932331912695407,0.9290676680873046
gustatory_feeding,grooming_drive,0.15,0.5437693386317534,0.39376933863175334
gustatory_feeding,visual_steering_drive,0.05,0.49424222732856704,0.44424222732856705
mechanosensory_grooming,forward_drive,0.1,0.3811150353167812,0.28111503531678117
mechanosensory_grooming,turning_drive,0.25,0.4853696792076131,0.2353696792076131
mechanosensory_grooming,feeding_drive,0.05,0.49602918707234944,0.44602918707234945
mechanosensory_grooming,grooming_drive,0.95,0.09595924210675404,0.854040757893246
mechanosensory_grooming,visual_steering_drive,0.05,0.49400281043178423,0.44400281043178425
