condition,trial,cs_plus_side,n_steps,requested_run_time_s,simulated_time_s,stopped_early,final_x,final_y,final_z,path_length,mean_y,signed_final_y,distance_to_cs_plus,distance_to_cs_minus,choice,video_frame_count,video_duration_s,render_device,video_path,trajectory_path,plot_path,cs_plus_odor,cs_minus_odor,unconditioned_stimulus,memory_phase,mb_perturbation,expected_behavior,biological_question,source_forward_drive,source_turning_drive,source_feeding_drive,choice_is_cs_plus,approach_margin,expected_choice_met
mch_sucrose_appetitive_wt_counterbalanced,0,right,3000,0.35,0.3,False,1.9765689373016357,-0.8235864043235779,1.1303870677947998,3.224642522444825,-0.2009365801247077,0.8235864043235779,2.9717081628144113,4.3259780693874,CS+,0,0.0,0,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.3542699065729886,1.0
mch_sucrose_appetitive_wt_counterbalanced,1,right,3000,0.35,0.3,False,1.9337501525878906,-0.7833563089370728,0.9957653284072876,3.155935855987569,-0.2853286138225194,0.7833563089370728,3.030329633069585,4.310820501053659,CS+,0,0.0,1,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.2804908679840739,1.0
mch_sucrose_appetitive_wt_counterbalanced,2,right,3000,0.35,0.3,False,1.867544174194336,-0.6236887574195862,1.123317003250122,3.044161034589268,-0.16510353675299938,0.6236887574195862,3.192839327405403,4.20457941531155,CS+,0,0.0,2,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.0117400879061473,1.0
mch_sucrose_appetitive_wt_counterbalanced,3,right,3000,0.35,0.3,False,1.7862223386764526,-0.5237143039703369,0.9947974681854248,2.982135747052457,-0.1336389840720558,0.5237143039703369,3.3215662543649898,4.161414907189658,CS+,0,0.0,3,,,,MCH_4-methylcyclohexanol,OCT_3-octanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,odor identity counterbalance to separate memory from odor-specific bias,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.8398486528246685,1.0
oct_shock_aversive_wt,0,left,3000,0.35,0.3,False,1.6699035167694092,-0.35693466663360596,0.9000751972198486,2.911767275000957,-0.1422245793279714,-0.35693466663360596,4.086362683023871,3.5235130165229664,CS-,0,0.0,0,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,electric_shock,acute_memory,wild_type_connectome,avoid_CS_plus,aversive memory should reverse the sign of CS+ approach,0.7438841195690529,0.6036419788996379,0.944602347241558,0.0,-0.5628496665009042,1.0
oct_shock_aversive_wt,1,left,3000,0.35,0.3,False,1.4307821989059448,-0.20491106808185577,0.9116590619087219,2.958160173665698,-0.023740282619500553,-0.20491106808185577,4.1075948027735345,3.796498682574496,CS-,0,0.0,1,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,electric_shock,acute_memory,wild_type_connectome,avoid_CS_plus,aversive memory should reverse the sign of CS+ approach,0.7438841195690529,0.6036419788996379,0.944602347241558,0.0,-0.3110961201990383,1.0
oct_shock_aversive_wt,2,left,3000,0.35,0.3,False,2.0638270378112793,-0.5549852252006531,1.1987131834030151,3.6589144558002706,-0.09832859345972489,-0.5549852252006531,4.048047145341267,3.118791911701989,CS-,0,0.0,2,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,electric_shock,acute_memory,wild_type_connectome,avoid_CS_plus,aversive memory should reverse the sign of CS+ approach,0.7438841195690529,0.6036419788996379,0.944602347241558,0.0,-0.9292552336392785,1.0
oct_shock_aversive_wt,3,left,3000,0.35,0.3,False,2.0643410682678223,-0.5326970815658569,1.1076956987380981,3.3507875063533867,-0.10168923382883682,-0.5326970815658569,4.028240828215026,3.1359781873138397,CS-,0,0.0,3,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,electric_shock,acute_memory,wild_type_connectome,avoid_CS_plus,aversive memory should reverse the sign of CS+ approach,0.7438841195690529,0.6036419788996379,0.944602347241558,0.0,-0.892262640901186,1.0
oct_sucrose_appetitive_wt,0,left,3000,0.35,0.3,False,1.99098539352417,0.46341389417648315,1.1574355363845825,3.38117831082653,0.05935433320871622,0.46341389417648315,3.2358011003907747,4.003920015610695,CS+,0,0.0,0,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,baseline appetitive odor memory with OCT as rewarded odor,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.7681189152199202,1.0
oct_sucrose_appetitive_wt,1,left,3000,0.35,0.3,False,1.8719825744628906,0.6402798295021057,1.137012004852295,3.1286048901928347,0.2105974130146533,0.6402798295021057,3.177536380034727,4.216645040843427,CS+,0,0.0,1,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,baseline appetitive odor memory with OCT as rewarded odor,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.0391086608087,1.0
oct_sucrose_appetitive_wt,2,left,3000,0.35,0.3,False,1.9416992664337158,0.7834292650222778,1.058013916015625,3.1939805782112174,0.2282153803227217,0.7834292650222778,3.024861605587797,4.30708009134106,CS+,0,0.0,2,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,baseline appetitive odor memory with OCT as rewarded odor,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,1.2822184857532632,1.0
oct_sucrose_appetitive_wt,3,left,3000,0.35,0.3,False,1.9778543710708618,0.4595516324043274,1.012953758239746,2.932129125459839,0.1015679736846705,0.4595516324043274,3.2469910460327323,4.007189843502385,CS+,0,0.0,3,,,,OCT_3-octanol,MCH_4-methylcyclohexanol,sucrose_reward,acute_memory,wild_type_connectome,approach_CS_plus,baseline appetitive odor memory with OCT as rewarded odor,0.7438841195690529,0.6036419788996379,0.944602347241558,1.0,0.7601987974696525,1.0
