root_id,score,step,odor_identity,side,super_class,cell_class,cell_type,hemibrain_type,top_nt,abs_score
720575940636676976,0.00087478285,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00087478285
720575940620544182,0.00087252195,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00087252195
720575940629445758,0.0008596907,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0008596907
720575940630403855,0.00083402835,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.00083402835
720575940618894246,0.00082119706,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.00082119706
720575940639096125,0.00081726076,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00081726076
720575940622501611,0.000814508,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000814508
720575940629236242,0.0008083659,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0008083659
720575940629240079,0.00078270346,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00078270346
720575940638013016,0.00078270346,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00078270346
720575940629445758,0.00077755394,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00077755394
720575940639096125,0.00076987233,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00076987233
720575940616627851,0.0007570411,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0007570411
720575940627086596,0.0007570411,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0007570411
720575940611685273,0.00074420986,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00074420986
720575940630403855,0.00074259297,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.00074259297
720575940608663765,0.00073137874,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00073137874
720575940613400785,0.00073137874,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00073137874
720575940629578366,0.00073137874,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00073137874
720575940620544182,0.0007301525,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0007301525
720575940631716409,0.0007185475,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0007185475
720575940631272515,0.00070143223,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00070143223
720575940636676976,0.0006800539,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0006800539
720575940626366748,0.00068005384,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00068005384
720575940643380759,0.0006677456,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0006677456
720575940631272515,0.00066722266,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00066722266
720575940606452681,0.0006543915,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0006543915
720575940627138888,0.0006543915,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0006543915
720575940629978666,0.0006543915,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0006543915
720575940631741613,0.0006543915,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0006543915
720575940631716409,0.0006511228,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0006511228
720575940638013016,0.00064203126,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00064203126
720575940622501611,0.00064156024,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00064156024
720575940623111463,0.0006297379,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0006297379
720575940619693003,0.00062872906,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00062872906
720575940659297153,0.00062872906,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00062872906
720575940631425235,0.000628729,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000628729
720575940623536205,0.0006253432,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0006253432
720575940623111463,0.0006158979,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0006158979
720575940623536205,0.0006158979,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0006158979
720575940613400785,0.00060528156,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00060528156
720575940618876062,0.00060306664,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00060306664
720575940620537839,0.00060306664,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00060306664
720575940620537839,0.0005990327,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005990327
720575940615228502,0.0005937314,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.0005937314
720575940618150736,0.00059023546,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00059023546
720575940622005025,0.00059023546,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00059023546
720575940627687940,0.0005902354,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005902354
720575940626366748,0.0005813316,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005813316
720575940617911360,0.0005774042,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0005774042
720575940616627851,0.0005726568,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005726568
720575940604402092,0.000572477,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000572477
720575940627086596,0.0005648396,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005648396
720575940615228502,0.00056457304,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00056457304
720575940624584835,0.00056457304,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00056457304
720575940624852120,0.00056457304,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00056457304
720575940625768073,0.00056457304,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00056457304
720575940639127861,0.00056457304,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00056457304
720575940649536121,0.00055856624,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00055856624
720575940621729171,0.00055680185,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00055680185
720575940622335112,0.0005517418,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0005517418
720575940644800535,0.0005461665,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005461665
720575940619298865,0.0005406201,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005406201
720575940608774776,0.0005389106,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005389106
720575940621876830,0.0005389106,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005389106
720575940630961464,0.0005389106,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005389106
720575940636323982,0.0005389106,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005389106
720575940643380759,0.0005389106,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005389106
720575940631741613,0.0005351718,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005351718
720575940607351747,0.00052607944,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00052607944
720575940604402092,0.0005260794,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005260794
720575940637898429,0.0005260794,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-d,KCg-d,dopamine,0.0005260794
720575940611669145,0.0005256964,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005256964
720575940638592590,0.00051895744,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00051895744
720575940611983322,0.0005132482,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005132482
720575940622222921,0.0005132482,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0005132482
720575940626646544,0.0005132482,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.0005132482
720575940630906029,0.0005132482,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005132482
720575940637822323,0.0005132482,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0005132482
720575940639421555,0.0005132482,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0005132482
720575940644554606,0.0005132482,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0005132482
720575940632592429,0.00051151594,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00051151594
720575940614484626,0.000500417,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000500417
720575940616598555,0.000500417,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000500417
720575940617093533,0.000500417,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000500417
720575940620831949,0.000500417,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000500417
720575940623409959,0.000500417,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.000500417
720575940629502506,0.000500417,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.000500417
720575940630452388,0.000500417,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000500417
720575940631624673,0.000500417,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.000500417
720575940644800535,0.000500417,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000500417
720575940622169471,0.00050041697,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00050041697
720575940623068308,0.00050041697,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00050041697
720575940629240079,0.000489886,2,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.000489886
720575940605180337,0.00048758578,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00048758578
720575940610101210,0.00048758578,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00048758578
720575940610336610,0.00048758578,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00048758578
720575940618379723,0.00048758578,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00048758578
720575940624740878,0.00048758578,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00048758578
720575940627930490,0.00048758578,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.00048758578
720575940628695414,0.00048758578,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00048758578
720575940630170967,0.00048758578,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00048758578
720575940646783284,0.00048758578,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00048758578
720575940618150736,0.00047809072,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00047809072
720575940612910486,0.00047648154,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00047648154
720575940626474889,0.00047475463,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00047475463
720575940621331621,0.0004747546,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0004747546
720575940621487088,0.0004747546,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0004747546
720575940623331475,0.0004747546,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0004747546
720575940638592590,0.0004747546,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0004747546
720575940612910486,0.00047475458,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00047475458
720575940619630207,0.00047475458,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00047475458
720575940622820586,0.00047475458,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00047475458
720575940643287240,0.00047475458,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00047475458
720575940617174365,0.0004708698,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0004708698
720575940615125877,0.00047028984,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00047028984
720575940611685273,0.0004653969,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0004653969
720575940606347394,0.00046192337,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00046192337
720575940611669145,0.00046192337,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00046192337
720575940618184839,0.00046192337,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.00046192337
720575940629291564,0.00046192337,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00046192337
720575940633808665,0.00046192337,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00046192337
720575940627138888,0.00046091253,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00046091253
720575940618133072,0.00045777578,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.00045777578
720575940623002087,0.00045323413,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.00045323413
720575940623068308,0.00045313616,2,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.00045313616
720575940610476506,0.0004490922,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0004490922
720575940617529318,0.0004490922,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0004490922
720575940618133072,0.0004490922,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0004490922
720575940623004685,0.0004490922,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-m,dopamine,0.0004490922
720575940625744466,0.0004490922,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-c,dopamine,0.0004490922
720575940626582842,0.0004490922,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0004490922
720575940629127109,0.0004490922,1,MCH_4-methylcyclohexanol,right,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0004490922
720575940629529088,0.0004490922,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCab,KCab-s,dopamine,0.0004490922
720575940637143262,0.0004490922,1,MCH_4-methylcyclohexanol,left,central,Kenyon_Cell,KCg-m,KCg-m,dopamine,0.0004490922
