odor_identity,glomerulus,relative_weight,neuron_role,root_id,side,cell_class,cell_type,hemibrain_type,top_nt,seed_weight,selection_status
OCT_3-octanol,DM6,1.0,ORN,720575940609590596,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940611885541,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940616551563,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940617022277,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940617089876,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940617308673,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940617479169,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940617598621,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940619903664,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940619937140,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940620146523,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940620421255,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940620750716,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940620805545,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940621929471,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940622269734,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940622751270,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940625613514,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940627431080,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940627948111,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940628009771,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940628198759,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940628225323,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940629724411,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940630835195,left,olfactory,ORN_DM6,ORN_DM6,serotonin,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940630915748,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940633211031,left,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940607948483,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940614378463,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940615758395,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940618242353,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940619440878,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940619603024,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940620847342,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940621625349,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
OCT_3-octanol,DM6,1.0,ORN,720575940621629189,right,olfactory,ORN_DM6,ORN_DM6,acetylcholine,0.019230769230769232,selected
