condition,n_trials,cs_plus_choice_rate,mean_distance_to_cs_plus,mean_approach_margin,mean_signed_final_y,mean_path_length,cs_minus_count,mean_video_duration_s,left_cs_plus_margin,right_cs_plus_margin,side_specific_margin_shift,memory_mode,attractive_gain,aversive_gain,lateral_memory_bias,cs_plus_intensity,cs_minus_intensity,diffuse_exponent,spawn_y,spawn_heading,biological_interpretation
acute_balanced_memory,6,0.8333333333333334,3.0416931382145855,3.9933687569911656,3.6874874234199524,14.81630196730122,1,5.5,2.610223157804912,5.376514356177419,2.766291198372507,acute,-500.0,80.0,0.0,1.0,1.0,2.0,0.0,0.0,balanced acute odor-memory reference
cs_plus_weak_conflict,6,0.8333333333333334,2.7128162753854657,3.7844573253292797,3.267330288887024,14.860998106505315,1,5.5,2.172897309164959,5.3960173414936,3.2231200323286413,sensory_memory_conflict,-650.0,60.0,-0.18,0.28,1.0,2.1,0.0,0.0,weak CS+ cue competes with stronger CS- sensory plume
initial_state_mirror,6,1.0,3.133060007930414,5.365988803127408,5.2060558795928955,14.864043307987343,0,5.5,5.410130460350092,5.321847145904724,-0.08828331444536808,initial_state_control,-500.0,80.0,0.0,1.0,1.0,2.0,-1.5,0.25,same memory with biased initial position and heading
left_sensor_deprivation,6,1.0,2.8249046966874065,5.080191204485742,4.403116226196289,14.807832522551768,0,5.5,4.814950297801919,5.345432111169566,0.530481813367647,sensory_asymmetry,-500.0,80.0,0.18,1.0,1.0,2.0,0.0,0.0,left olfactory channel deprivation with intact right channel
long_term_memory_consolidated,6,0.8333333333333334,2.899077359122945,3.9672513753668497,3.5286130905151367,14.485067660800611,1,5.5,2.486494038656612,5.448008712077087,2.9615146734204747,long_term,-680.0,45.0,0.18,1.0,1.0,2.2,0.0,0.0,stronger consolidated CS+ drive with reduced aversive interference
long_term_memory_decay,6,1.0,2.824033422460836,5.299038663013968,4.76429009437561,14.871976852487485,0,5.5,5.760546621063853,4.837530704964081,-0.9230159160997724,long_term_decay,-220.0,25.0,0.05,1.0,1.0,1.8,0.0,0.0,forgetting or weak retrieval after memory decay
narrow_plume_high_gradient,4,1.0,2.0121754441772355,4.513641799871165,4.0149237513542175,10.24863441239831,0,0.0,4.490514879488845,4.536768720253483,0.046253840764637566,plume_geometry,-500.0,80.0,0.0,1.0,1.0,2.8,0.0,0.0,narrow steep plume emphasizes sensory input precision
right_sensor_deprivation,6,0.8333333333333334,2.9277527438740107,4.078214081140882,3.7807131807009378,14.550698307441598,1,5.5,2.4145365941993897,5.741891568082373,3.3273549738829833,sensory_asymmetry,-500.0,80.0,-0.18,1.0,1.0,2.0,0.0,0.0,right olfactory channel deprivation with intact left channel
weak_odor_high_memory,6,1.0,2.820712006362772,5.032697723646602,4.3737558126449585,14.808109424670008,0,5.5,4.817149866012937,5.248245581280268,0.4310957152673316,weak_cue_retrieval,-720.0,40.0,0.22,0.35,0.35,2.4,0.0,0.0,long-term memory compensates for low odor concentration
wide_plume_low_gradient,4,1.0,1.2050971252597287,8.218950780492621,5.199313044548035,10.602851214145922,0,0.0,8.331285016334935,8.106616544650306,-0.22466847168462856,plume_geometry,-500.0,80.0,0.0,1.0,1.0,1.45,0.0,0.0,broad shallow odor gradient tests navigational sensitivity
