condition,behavior_condition,root_id,priority_score,abs_score,score,target_direction,side,cell_class,cell_type,hemibrain_type,top_nt,mean_approach_margin,behavioral_side_asymmetry,memory_axis_abs_mass,response_laterality_abs,min_empirical_fdr_q
left_alpha_prime_beta_prime_glutamate_activate,,720575940620975696,0.23998209999999998,0.19198568,0.10771902,activated,left,MBIN,DPM,DPM,dopamine,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940624547622,0.1941973125,0.15535785,0.12039096,activated,left,MBIN,APL,APL,gaba,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940624590316,0.0757877255,0.06590237,0.061207686,activated,right,MBON,MBON03,MBON03,glutamate,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940645304430,0.034560452049999996,0.030052567,0.027772808,activated,left,MBON,MBON13,MBON13,acetylcholine,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940630864847,0.031742079199999995,0.027601808,0.024664998,activated,right,MBON,MBON09,MBON09,gaba,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940610964946,0.031019583649999995,0.026973551,0.024303025,activated,right,MBON,MBON09,MBON09,gaba,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940628734376,0.02227556095,0.019370053,0.01826933,activated,right,MBON,MBON04,MBON04,glutamate,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940621828443,0.0212271485,0.01845839,0.015214315,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940630075703,0.0211651244,0.018404456,0.015091949,activated,left,MBON,MBON12,MBON12,acetylcholine,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940627594568,0.017036672399999998,0.014197227,0.010742631,activated,left,DAN,PPL103,PPL103,dopamine,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940631758393,0.016743458399999998,0.013952882,0.010658156,activated,right,DAN,PPL103,PPL103,dopamine,,,,,
left_alpha_prime_beta_prime_glutamate_activate,,720575940630496374,0.0162032815,0.01408981,-0.011886099,suppressed,right,MBON,MBON05,MBON05,glutamate,,,,,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940620975696,0.3003526411808383,0.15341768,0.06645879,activated,left,MBIN,DPM,DPM,dopamine,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940624547622,0.2936005561037142,0.14996877,0.10563543,activated,left,MBIN,APL,APL,gaba,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940624590316,0.06177378455679682,0.034297332,0.028214859,activated,right,MBON,MBON03,MBON03,glutamate,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940638028607,0.05757543045747271,0.03196637,0.0170203,activated,right,MBON,MBON06,MBON06,glutamate,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940617302365,0.031969924994122864,0.017749975,0.01138192,activated,left,MBON,MBON07,MBON07,glutamate,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940616463477,0.03125908036545969,0.017355308,-0.0035696793,suppressed,left,MBON,MBON22,MBON22,acetylcholine,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940652390134,0.02947663115965186,0.016365677,0.010078453,activated,left,MBON,MBON07,MBON07,glutamate,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940630496374,0.029370584517681722,0.016306799,-0.015223023,suppressed,right,MBON,MBON05,MBON05,glutamate,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940645304430,0.028202117235307397,0.015658056,0.013068694,activated,left,MBON,MBON13,MBON13,acetylcholine,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
left_glutamate_activate_silence_right_serotonin,mirror_reversal,720575940630864847,0.0271867347772751,0.015094307,0.011521559,activated,right,MBON,MBON09,MBON09,gaba,4.529565716007212,-2.931361386509977,1.14915369451046,-0.8302888571078725,
