condition,cell_class,cell_type,n_targets,mean_priority_score,max_abs_score,dominant_side,dominant_nt
left_alpha_prime_beta_prime_glutamate_activate,MBIN,DPM,1,0.23998209999999998,0.19198568,left,dopamine
left_alpha_prime_beta_prime_glutamate_activate,MBIN,APL,1,0.1941973125,0.15535785,left,gaba
left_alpha_prime_beta_prime_glutamate_activate,MBON,MBON03,1,0.0757877255,0.06590237,right,glutamate
left_alpha_prime_beta_prime_glutamate_activate,MBON,MBON13,1,0.034560452049999996,0.030052567,left,acetylcholine
left_alpha_prime_beta_prime_glutamate_activate,MBON,MBON09,2,0.03138083142499999,0.027601808,right,gaba
left_alpha_prime_beta_prime_glutamate_activate,MBON,MBON04,1,0.02227556095,0.019370053,right,glutamate
left_alpha_prime_beta_prime_glutamate_activate,MBON,MBON12,2,0.02119613645,0.01845839,left,acetylcholine
left_alpha_prime_beta_prime_glutamate_activate,DAN,PPL103,2,0.016890065399999998,0.014197227,left,dopamine
left_alpha_prime_beta_prime_glutamate_activate,MBON,MBON05,1,0.0162032815,0.01408981,right,glutamate
left_glutamate_activate_silence_right_serotonin,MBIN,DPM,1,0.3003526411808383,0.15341768,left,dopamine
left_glutamate_activate_silence_right_serotonin,MBIN,APL,1,0.2936005561037142,0.14996877,left,gaba
left_glutamate_activate_silence_right_serotonin,MBON,MBON03,1,0.06177378455679682,0.034297332,right,glutamate
left_glutamate_activate_silence_right_serotonin,MBON,MBON06,1,0.05757543045747271,0.03196637,right,glutamate
left_glutamate_activate_silence_right_serotonin,MBON,MBON22,1,0.03125908036545969,0.017355308,left,acetylcholine
left_glutamate_activate_silence_right_serotonin,MBON,MBON07,2,0.030723278076887364,0.017749975,left,glutamate
left_glutamate_activate_silence_right_serotonin,MBON,MBON05,1,0.029370584517681722,0.016306799,right,glutamate
left_glutamate_activate_silence_right_serotonin,MBON,MBON13,1,0.028202117235307397,0.015658056,left,acetylcholine
left_glutamate_activate_silence_right_serotonin,MBON,MBON09,2,0.026600147515900525,0.015094307,right,gaba
left_glutamate_activate_silence_right_serotonin,MBON,MBON18,1,0.022517017241068006,0.01250164,left,acetylcholine
left_glutamate_kc_activate,MBIN,DPM,1,0.39885455258264957,0.15337555,left,dopamine
left_glutamate_kc_activate,MBIN,APL,1,0.38988885449516025,0.14992788,left,gaba
left_glutamate_kc_activate,MBON,MBON03,1,0.0820475576373592,0.0342941,right,glutamate
left_glutamate_kc_activate,MBON,MBON06,1,0.07645932516509611,0.03195834,right,glutamate
left_glutamate_kc_activate,MBON,MBON22,1,0.041498054617821654,0.017345287,left,acetylcholine
left_glutamate_kc_activate,MBON,MBON07,2,0.040802437193082845,0.017746665,left,glutamate
left_glutamate_kc_activate,MBON,MBON05,1,0.03897451940367675,0.016290504,right,glutamate
left_glutamate_kc_activate,MBON,MBON13,1,0.03745771823185683,0.015656514,left,acetylcholine
left_glutamate_kc_activate,MBON,MBON09,2,0.03532705387628431,0.01509126,right,gaba
left_glutamate_kc_activate,MBON,MBON18,1,0.029905608764218796,0.012499896,left,acetylcholine
right_alpha_prime_beta_prime_serotonin_activate,MBIN,DPM,1,0.21861996250000001,0.17489597,right,dopamine
right_alpha_prime_beta_prime_serotonin_activate,MBIN,APL,1,0.17287697500000002,0.13830158,right,gaba
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON03,1,0.0774396821,0.067338854,left,glutamate
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON13,1,0.03191363965,0.027750991,right,acetylcholine
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON31,1,0.031493934499999994,0.02738603,right,gaba
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON04,1,0.028854200349999998,0.025090609,left,glutamate
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON09,2,0.026644184975,0.024647273,left,gaba
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON26,1,0.023281439499999997,0.02024473,right,acetylcholine
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON12,2,0.01909080385,0.01774778,right,acetylcholine
right_alpha_prime_beta_prime_serotonin_activate,MBON,MBON16,1,0.01890103085,0.016435679,right,acetylcholine
right_serotonin_activate_silence_left_glutamate,MBIN,APL,1,0.24619871965815793,0.14864506,right,gaba
right_serotonin_activate_silence_left_glutamate,MBIN,DPM,1,0.20919934604459237,0.1263063,right,dopamine
right_serotonin_activate_silence_left_glutamate,MBON,MBON03,1,0.04420880129376909,0.02901253,left,glutamate
right_serotonin_activate_silence_left_glutamate,MBON,MBON05,1,0.03993919472614081,0.026210552,left,acetylcholine
right_serotonin_activate_silence_left_glutamate,MBON,MBON22,1,0.03124522161352967,0.020505033,right,acetylcholine
right_serotonin_activate_silence_left_glutamate,MBON,MBON11,1,0.028260567954971724,0.01854632,right,gaba
right_serotonin_activate_silence_left_glutamate,MBON,MBON07,2,0.026556640231318488,0.017658127,right,glutamate
right_serotonin_activate_silence_left_glutamate,MBON,MBON18,1,0.022596858375008275,0.014829446,right,acetylcholine
right_serotonin_activate_silence_left_glutamate,MBON,MBON14,2,0.02210386351336134,0.015213881,right,acetylcholine
right_serotonin_activate_silence_left_glutamate,MBON,MBON13,1,0.018591999968673913,0.012201212,right,acetylcholine
right_serotonin_kc_activate,MBIN,APL,1,0.3152092955326033,0.14862667,right,gaba
right_serotonin_kc_activate,MBIN,DPM,1,0.26783776773302337,0.12629017,right,dopamine
right_serotonin_kc_activate,MBON,MBON03,1,0.05660454038054107,0.029010898,left,glutamate
right_serotonin_kc_activate,MBON,MBON05,1,0.05112477391532847,0.026202414,left,acetylcholine
right_serotonin_kc_activate,MBON,MBON22,1,0.03999627941815708,0.02049885,right,acetylcholine
right_serotonin_kc_activate,MBON,MBON11,1,0.03618136855894827,0.018543636,right,gaba
right_serotonin_kc_activate,MBON,MBON07,2,0.034000729069072436,0.017655864,right,glutamate
right_serotonin_kc_activate,MBON,MBON18,1,0.028931921089636825,0.014828157,right,acetylcholine
right_serotonin_kc_activate,MBON,MBON14,2,0.02830151509619771,0.01521296,right,acetylcholine
right_serotonin_kc_activate,MBON,MBON13,1,0.023804800141189263,0.0122004105,right,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBIN,DPM,1,0.2487220625,0.19897765,left,dopamine
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBIN,APL,1,0.18690996250000003,0.14952797,left,gaba
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON03,1,0.06868512655,0.059726197,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON26,1,0.037572952949999995,0.032672133,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON04,1,0.0341002646,0.029652404,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON09,2,0.026933832599999995,0.023671117,right,gaba
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON28,1,0.02644052975,0.022991765,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON01,1,0.0254055792,0.022091808,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,DAN,PPL103,1,0.0246753036,0.020562753,left,dopamine
subtype_left_glutamate_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON12,2,0.019488301925,0.017259624,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBIN,DPM,1,0.2370327375,0.18962619,left,dopamine
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBIN,APL,1,0.18093256249999998,0.14474605,left,gaba
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON03,1,0.0857804849,0.074591726,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON13,1,0.045384853499999996,0.03946509,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON09,2,0.033024337249999994,0.02919438,right,gaba
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON12,2,0.025159815,0.02208439,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON04,1,0.022078709699999997,0.019198878,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON16,1,0.0194225409,0.016889166,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON01,1,0.016417480499999998,0.01427607,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-ap2_KCapbp-ap2,DAN,PPL103,1,0.016351258799999997,0.013626049,right,dopamine
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBIN,DPM,1,0.2343215,0.1874572,left,dopamine
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBIN,APL,1,0.212470625,0.1699765,left,gaba
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON03,1,0.07390049499999998,0.0642613,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON13,1,0.040605947999999996,0.03530952,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON09,2,0.033989611025,0.031045182,right,gaba
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,DAN,PAM06,1,0.0256481472,0.021373456,left,dopamine
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON12,2,0.019397527249999998,0.017239971,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON05,1,0.01690996455,0.014704317,right,glutamate
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,DAN,PPL103,1,0.0157147596,0.013095633,right,dopamine
subtype_left_glutamate_enriched_kc_KCa_b_-m_KCapbp-m,MBON,MBON17,1,0.013913262349999999,0.012098489,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBIN,APL,1,0.2544734125,0.20357873,left,gaba
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBIN,DPM,1,0.1091799625,0.08734397,left,dopamine
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBON,MBON06,1,0.050329175,0.0437645,right,glutamate
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBON,MBON07,2,0.034202124125,0.02993496,left,glutamate
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBON,MBON22,1,0.030135013999999998,0.02620436,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBON,MBON05,1,0.026841691149999996,0.023340601,right,glutamate
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBON,MBON18,1,0.023409333299999998,0.020355942,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBON,MBON14,2,0.023124936,0.02141755,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-c_KCab,MBON,MBON11,1,0.013543459149999998,0.011776921,left,gaba
subtype_left_glutamate_enriched_kc_KCab-c_KCab,DAN,PPL101,1,0.0125645352,0.010470446,left,dopamine
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBIN,APL,1,0.16374865,0.13099892,left,gaba
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBIN,DPM,1,0.143784725,0.11502778,left,dopamine
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON06,1,0.05946507399999999,0.05170876,right,glutamate
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON22,1,0.0403702762,0.035104588,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON18,1,0.036660730399999994,0.031878896,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON07,2,0.035427197849999995,0.03270556,left,glutamate
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON14,2,0.031846879849999996,0.028719116,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON05,1,0.020152977199999998,0.017524328,right,glutamate
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON11,1,0.01984428385,0.017255899,left,gaba
subtype_left_glutamate_enriched_kc_KCab-m_KCab,MBON,MBON02,1,0.014792768549999998,0.012863277,right,gaba
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,MBIN,APL,1,0.181721725,0.14537738,left,gaba
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,MBIN,DPM,1,0.1628029,0.13024232,left,dopamine
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,MBON,MBON06,1,0.0911878585,0.07929379,right,glutamate
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,MBON,MBON07,2,0.032812379025,0.03168447,left,glutamate
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,MBON,MBON05,1,0.020160746599999998,0.017531084,right,glutamate
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,DAN,PAM09,4,0.019125459299999998,0.022755047,right,dopamine
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,MBON,MBON14,1,0.014348871999999999,0.01247728,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-p_KCab-p,DAN,PAM10,1,0.0129805776,0.010817148,right,dopamine
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBIN,APL,1,0.1595664375,0.12765315,left,gaba
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBIN,DPM,1,0.1583308,0.12666464,left,dopamine
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON06,1,0.06431404669999999,0.055925258,right,glutamate
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON07,2,0.040254338375,0.03556227,left,glutamate
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON18,1,0.03322867155,0.028894497,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON14,2,0.030718193375,0.027411351,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON02,1,0.022280157499999998,0.01937405,right,gaba
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON22,1,0.021120877,0.01836598,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON24,1,0.0200901619,0.017469706,left,acetylcholine
subtype_left_glutamate_enriched_kc_KCab-s_KCab,MBON,MBON05,1,0.0185985636,0.016172664,right,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBIN,DPM,1,0.20039512499999998,0.1603161,right,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBIN,APL,1,0.164759025,0.13180722,right,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON03,1,0.059445616,0.05169184,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON26,1,0.05894098679999999,0.051253032,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON31,1,0.050497489,0.04391086,right,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON04,1,0.042210195699999994,0.036704518,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON16,1,0.0296435339,0.025776986,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON28,1,0.0289332065,0.02515931,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON09,2,0.024383496575,0.025097527,left,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,DAN,PPL103,1,0.022902884399999997,0.019085737,left,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-ap1_KCapbp-ap1,MBON,MBON12,1,0.02265785315,0.019702481,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBIN,DPM,1,0.21883227500000002,0.17506582,right,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBIN,APL,1,0.15849837499999997,0.1267987,right,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON03,1,0.09266608,0.0805792,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON13,1,0.03646116055,0.031705357,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON31,1,0.03414206365,0.029688751,right,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON04,1,0.027061748249999996,0.023531955,left,glutamate
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON09,2,0.026810063274999997,0.025062557,left,gaba
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON16,1,0.025403684,0.02209016,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,MBON,MBON12,2,0.022676149649999998,0.020139212,right,acetylcholine
subtype_right_serotonin_enriched_kc_KCa_b_-ap2_KCapbp-ap2,DAN,PPL103,1,0.01490001,0.012416675,left,dopamine
subtype_right_serotonin_enriched_kc_KCa_b_-m_KCapbp-m,MBIN,DPM,1,0.23513496250000002,0.18810797,right,dopamine
